earthquake_date,latitude,key_2,longitude,decg,dbhg,decr,dbhr,mfig,mfir,mdig,mdir,time,magnitude
2018-12-11 02:26:29.420,-58.5446,2018-12-11,-26.3856,0.297,0.0,0.04,0.0,147.4,13.9,0.217,0.021,2018-12-11 02:26:29.420,7.1
2018-12-05 04:18:08.420,-21.9496,2018-12-05,169.4266,0.107,0.0,0.045,0.0,96.4,12.0,0.111,0.027,2018-12-05 04:18:08.420,7.5
2018-11-30 17:29:29.330,61.3464,2018-11-30,-149.9552,0.227,0.0,0.084,0.0,115.7,34.7,0.066,0.046,2018-11-30 17:29:29.330,7.1
2018-10-10 20:48:20.100,-5.7012,2018-10-10,151.2046,0.144,0.0,0.025,0.0,112.8,17.3,0.246,0.027,2018-10-10 20:48:20.100,7.0
2018-09-28 10:02:45.250,-0.2559,2018-09-28,119.8462,0.114,0.0,0.032,0.0,88.9,25.4,0.214,0.023,2018-09-28 10:02:45.250,7.5
2018-09-06 15:49:18.710,-18.4743,2018-09-06,179.3502,0.16,0.0,0.079,0.0,138.0,22.5,0.204,0.034,2018-09-06 15:49:18.710,7.9
2018-08-29 03:51:56.100,-22.0295,2018-08-29,170.1262,0.106,0.0,0.044,0.0,96.2,12.1,0.111,0.027,2018-08-29 03:51:56.100,7.1
2018-08-24 09:04:08.250,-11.0355,2018-08-24,-70.8284,0.135,0.0,0.021,0.0,57.9,43.7,0.274,0.018,2018-08-24 09:04:08.250,7.1
2018-08-21 21:31:47.600,10.7731,2018-08-21,-62.9019,0.121,0.0,0.026,0.0,80.6,17.0,0.183,0.022,2018-08-21 21:31:47.600,7.3
2018-08-19 00:19:40.670,-18.1125,2018-08-19,-178.153,0.145,0.0,0.025,0.0,123.3,15.4,0.193,0.028,2018-08-19 00:19:40.670,8.2
2018-02-25 17:44:44.140,-6.0699,2018-02-25,142.7536,0.142,0.0,0.023,0.0,116.8,17.1,0.234,0.027,2018-02-25 17:44:44.140,7.5
2018-02-16 23:39:39.280,16.3855,2018-02-16,-97.9787,0.159,0.0,0.029,0.0,122.9,12.9,0.187,0.02,2018-02-16 23:39:39.280,7.2
